ID;Nombre;Precio en $;Precio en Bs;Precio $ BCV;Inventario;Costos
121;Canela en polvo;0,27;21;0,31;36;11,05
122;Caramelo- Lokiño Chicle - Súper Coco- Bianchi- Chao- axido;0,07;5;0,08;598;47,40
123;Caramelos - Chao- Lokiño - tamarindo;0,05;4;0,06;1001;56,67
124;Caraotas 400 gr Michacha;1,60;123;1,81;8;14,49
125;Caraotas 500 gr Venela;1,36;105;1,54;;0,00
126;Caraotas Pantera 500gr;2,11;162;2,39;14;33,45
127;Cargador de telefónos - Infinix 2 en 1;7,68;591;8,70;6;52,18
128;Cargador de telefónos - Travel adapter - sin cable;3,57;275;4,04;6;24,26
129;Cargador de telefónos - V-men 3.IA;2,70;208;3,06;2;6,11
130;Cargador LQ -LT-C06;9,00;693;10,19
131;Carpeta Marrón - Tamaño Carta;1,00;77;1,13;47;53,22
132;Carpeta Marrón - Tamaño oficio ;1,00;77;1,13;50;56,62
133;Carpetas Manila- Tamaño Carta;0,35;27;0,40;36;14,27
134;Carpetas Manila- Tamaño Oficio;0,45;35;0,51;136;69,30
135;Carpetas transparentes;0,80;62;0,91;2;1,81
136;Cartas Españolas;1,00;77;1,13;7;7,93
137;Carteras para caballeros;2,60;200;2,94;3;8,83
138;Cartuchera;7,00;539;7,93;5;39,63
139;Cartulina grande - colores y holográficas;2,00;154;2,26;5;11,32
140;Cartulina grande blanca;0,80;62;0,91;409;370,51
141;Cartulina mediana y fluorescente;1,60;123;1,81;46;83,34
142;Cartulinas tamaño carta ;0,32;24;0,36;260;93,03
143;CD vírgenes ;0,60;46;0,68;23;15,63
144;Cepillo de barrer-Completo;3,41;263;3,86;9;34,75
145;Cepillo de lavar;1,10;85;1,25;1;1,25
146;Cepillo expandible - esqueleto;2,10;162;2,38;6;14,27
147;Cepillo grande para uñas ;1,00;77;1,13
148;Cepillo masajeador de mascotas;4,85;373;5,49;1;5,49
149;Cepillo para el cabello ;1,60;123;1,81;;0,00
150;Cepillo para los pies  de cuatro usos;1,44;111;1,63;6;9,78
151;Cepillo pequeño para uñas ;0,65;50;0,74
152;Cepillo secador ;14,00;1078;15,85;1;15,85
153;Cepillos de Barrer - sin palo;2,00;154;2,26;;0,00
154;Cepillos de Dientes Alident - Colgate - Oral B;1,15;89;1,30;27;35,16
155;Cepillos de Dientes ECONÓMICOS ;0,60;46;0,68;7;4,76
156;Cera Azuleno - depiladora;6,17;475;6,99;2;13,97
157;Cera granulada depiladora;2,50;193;2,83;6;16,99
158;Cera para el cabello;2,50;193;2,83
159;Cera para pisos;1,60;123;1,81;;0,00
160;Cereal FRISGO;2,53;195;2,86;2;5,73
161;Cereales Maizoritos  - Fruty Aros pequeño - individuales;0,50;39;0,57;;0,00
162;Cereales Maizoritos grandes;4,05;312;4,59;5;22,93
163;Cereales Mega Aros - Bol - Flakes de 240g - grande;2,70;208;3,06;9;27,52
164;Champú Alive Gold de pote tapa de colores ;3,00;231;3,40;11;37,37
165;Champú Alive Hiervas de pote transparente ;3,07;236;3,48;11;38,24
166;Champú para bebé Baby  Finger 200ml;1,75;135;1,98;12;23,78
167;Champú y acondicionador de sobre Alive;0,20;15;0,23;110;24,91
168;Champú y acondicionador KERA MIX;0,85;65;0,96;69;66,41
169;Champú y acondiconador de sobre Head Shoulder  y Pantene;0,45;35;0,51;248;126,37
170;Chao Pastillas ;0,30;23;0,34;;0,00
171;Cheese Cronch picante 110 gr;1,30;100;1,47;15;22,08
172;Cheese Cronch queso 150 gr;1,63;126;1,85;2;3,69
173;Cheese Tris Familiar;2,26;174;2,56;;0,00
174;Cheese Tris pequeño;1,12;86;1,27;12;15,22
175;Cheetos puff Familiar;2,00;154;2,26;;0,00
176;Cheetos puff pequeño;0,80;62;0,91;;0,00
177;Chicharrón familiar - picante;2,14;165;2,42;;0,00
178;Chicharrón Jacks familiar ;;0;0,00;;0,00
179;Chicharrón Jacks pequeño;;0;0,00;;0,00
180;Chicle ácido Revolcón;0,06;4;0,06;;0,00
181;Chicle Bubba Boom ;0,06;5;0,07;;0,00
182;Chicle BUZZY TATUAJE ;0,04;3;0,05;;0,00
183;Chicle Hubba Bubba Boom - METRO;2,56;197;2,90;;0,00
184;Chicles Splot de 5 unidades;0,28;22;0,32;;0,00
185;Chicles Splot ojos;0,06;5;0,07;;0,00
186;Chile redondo (bolas);0,06;5;0,07;160;10,87
187;Chimó amarillo- azul;0,60;46;0,68;29;19,70
188;Chimó El Gran Indio Taima;0,40;31;0,45;;0,00
189;ChisKesitos Familiar;1,87;144;2,12;;0,00
190;ChisKesitos Familiar Tocineta;1,24;95;1,40;;0,00
191;ChisKesitos Pequeño;0,70;54;0,79;;0,00
192;Choco-Bay;1,08;83;1,22;11;13,45
193;Chocolate Carre- mini;0,00;0;0,00;;0,00
194;Chocolate Cricri, Savoy, GalaK;1,51;116;1,71;23;39,33
195;Chocolate Dandy;0,50;39;0,57;;0,00
196;Chocolate Flaquito;0,78;60;0,88;;0,00
197;Chocolate Flaquito - mini- ;0,20;15;0,23;57;12,91
198;Chocolate Royalle Botella ;2,06;159;2,33;;0,00
199;Chocolate Stadium;0,50;39;0,57;;0,00
200;Chocolate Trululu (Dandy);0,50;39;0,57;;0,00
201;Chores de Dama;2,00;154;2,26;3;6,79
202;Chupetas XXL;0,15;11;0,17;459;75,88
203;Chupetas XXL Bolsa completa;5,00;385;5,66;;0,00
204;Cigarros Consul -  Belmont - Caja;2,40;185;2,72;65;176,65
205;Cigarros Consul - Belmont - Detallados;0,12;9;0,14;;0,00
206;Cigarros Ibiza - caja;2,20;169;2,49;25;62,28
207;Cigarros Ibiza - Detallados;0,11;8;0,12;;0,00
208;Cigarros lucky strike;0,14;11;0,16;;0,00
209;Cigarros lucky strike caja;2,80;216;3,17;11;34,88
210;Cigarros universal - Caja;2,20;169;2,49;14;34,88
211;Cigarros universal - Detallados;0,11;8;0,12;;0,00
212;Cinta 2 metros ;1,00;77;1,13;20;22,65
213;Cinta adhesiva - tirro de papel;2,40;185;2,72;1;2,72
214;Cinta doble faz;3,00;231;3,40;7;23,78
215;Cinta Transparente 12 mm (Teipe);0,80;62;0,91;4;3,62
216;Cinta Transparente 18 mm x 33m (Teipe pequeño);1,00;77;1,13;;0,00
